id,date,restaurant_id,*,**,***
14916,2014-12-17,nkOvZOBW,0,0,0
29767,2013-12-30,WwOaAnOB,0,0,0
29338,2011-04-08,we39kvOk,0,0,0
7219,2013-12-30,dj3d5Xo9,0,0,0
20979,2008-03-31,XJ3rBW3R,0,0,0
5599,2014-08-07,lnORVGON,0,0,0
32994,2013-10-31,XJ3r0YOR,0,0,0
23804,2013-07-02,dj3dP739,0,0,0
1416,2012-01-24,JGoNpdEL,0,0,0
27518,2007-07-03,6Wo2YN39,0,0,0
19961,2007-11-28,njoZ4YEr,0,0,0
19494,2012-04-17,0ZEDZ4oD,0,0,0
14177,2007-10-12,6Wo2AN39,0,0,0
17707,2010-05-18,XJ3rqqER,0,0,0
30862,2013-01-02,0j3Lb6Or,0,0,0
2213,2008-11-07,NbE1LzOJ,0,0,0
5117,2013-10-16,rNo6Zqo6,0,0,0
30161,2013-03-15,Pk3wdDod,0,0,0
15269,2010-11-19,p038Lz3m,0,0,0
13148,2008-03-31,eVOBl63j,0,0,0
33742,2013-01-22,WwOaB0EB,0,0,0
9294,2012-05-30,JGoNxaEL,0,0,0
60,2011-11-29,rJoQwlEV,0,0,0
8592,2009-09-23,ydEjeOW0,0,0,0
16885,2009-03-20,dj3dnLO9,0,0,0
22074,2008-08-07,njoZ0YEr,0,0,0
9774,2012-08-01,N6OkJqox,0,0,0
21573,2014-06-27,KAoKJK3g,0,0,0
14900,2008-02-11,9JoP8jo8,0,0,0
22696,2011-04-12,njoZKbOr,0,0,0
6499,2007-11-16,WwOavVEB,0,0,0
7914,2013-05-17,1m3MVYoB,0,0,0
26602,2014-03-18,qN3g0goA,0,0,0
2109,2010-01-12,XJ3rj83R,0,0,0
1873,2010-02-22,lnORdd3N,0,0,0
25054,2014-07-03,B1oXV6EV,0,0,0
19728,2014-11-12,eVOB61Oj,0,0,0
18601,2010-04-21,wmo7gboq,0,0,0
23237,2013-12-06,8gOqD4o2,0,0,0
20685,2010-01-27,8gOqrDE2,0,0,0
7111,2012-12-30,xWoY2jOK,0,0,0
14861,2012-12-30,9JoP50O8,0,0,0
28474,2009-04-07,we396vok,0,0,0
2470,2010-08-03,6Wo2LYE9,0,0,0
11878,2008-09-24,7RO5z6Eq,0,0,0
23951,2012-11-14,ydEjRdEW,0,0,0
30860,2008-05-12,8gOqVrE2,0,0,0
31703,2014-04-30,njoZeJ3r,0,0,0
13644,2014-12-05,6VOp4BOL,0,0,0
23449,2013-06-28,N6Ok0qEx,0,0,0
10366,2007-08-21,njoZD1Er,0,0,0
24067,2010-11-15,eVOBKkEj,0,0,0
29000,2014-04-11,ZBEnLroY,0,0,0
28369,2011-06-27,6VOpxbOL,0,0,0
29028,2007-08-21,nkOvqXoB,0,0,0
935,2013-01-07,v5oJWyOB,0,0,0
28747,2008-12-08,WeEek6oa,0,0,0
16284,2009-07-09,6K3lNvOz,0,0,0
16038,2014-07-14,Y1EmjR3w,0,0,0
17759,2009-08-06,p0386AOm,0,0,0
17308,2013-12-30,JBEybN38,0,0,0
8720,2011-03-14,8gOqxro2,0,0,0
26731,2012-06-29,8x3zYLEk,0,0,0
21590,2008-10-28,v5oJQ13B,0,0,0
11928,2015-01-13,v5oJmd3B,0,0,0
5102,2013-11-05,KAoKB3gm,0,0,0
28117,2013-04-04,1JEbamOR,0,0,0
10012,2009-07-31,we39eD3k,0,0,0
15162,2010-10-22,KAoK7Bog,0,0,0
6620,2008-04-23,nkOv1loB,0,0,0
6416,2007-12-03,KAoK283g,0,0,0
6318,2009-04-23,NbE1DaOJ,0,0,0
24907,2011-07-27,9JoPQZO8,0,0,0
24353,2008-10-08,NbE1mzEJ,0,0,0
3286,2011-10-27,lnORKGEN,0,0,0
