"business_id","start","end","n","peak","restaurant_id","key"
"-2DW8dE1S0eu48ZnfJeAGQ",2008-07-19,2014-07-28,3,2009-12-05 00:00:00,"B1oXk63V","yelp_id_0"
"-2jQG9-gNH3TshkF-hhR0Q",2005-07-11,2011-03-02,42,2008-10-24 00:00:00,"7RO57V3q","yelp_id_0"
"-5ieYfS-fjUyK93b6Vbv-Q",2006-12-25,2015-04-19,141,2011-07-06 00:00:00,"xWoYzMOK","yelp_id_0"
"-87w2W8Kn50YF3lRjJI3fA",2008-04-07,2015-04-11,33,2012-03-07 00:00:00,"6K3lJeOz","yelp_id_0"
"-9auqmdb2OInFUhHnfsUgw",2006-03-10,2015-04-10,17,2013-01-04 00:00:00,"m0oWpzOG","yelp_id_0"
"-B6GJwKCVc-OzbdjhhGKlw",2005-07-25,2013-12-02,115,2010-07-14 00:00:00,"8gOqke32","yelp_id_0"
"-DN8tlDXWvtrynbfDuSRsQ",2009-03-24,2010-09-13,15,2009-11-13 00:00:00,"ekE4WLO2","yelp_id_0"
"-DjtI8wyS83kkwwuPqKBpg",2005-07-18,2015-04-24,130,2011-05-26 00:00:00,"m0oWxROG","yelp_id_0"
"-GS641QbEorRiNxdgrM15w",2008-12-30,2015-04-24,118,2012-01-12 00:00:00,"8gOqm5O2","yelp_id_0"
"-H8_P6JiRTyEnCga6omUzQ",2005-05-12,2015-05-01,754,2011-05-18 12:00:00,"NbE1bk3J","yelp_id_0"
"-Jh6xjeYXCgECsyJ9D3MpA",2010-04-08,2015-04-11,336,2011-11-15 00:00:00,"qN3gx0oA","yelp_id_0"
"-VZg-ucDw2aZgDc_BGyUkw",2010-10-17,2015-04-08,20,2013-06-08 00:00:00,"1JEbxMoR","yelp_id_0"
"-X_QXpH_xHs8CxqbSjUsIg",2009-11-27,2011-05-15,4,2010-09-12 12:00:00,"B1oX5dOV","yelp_id_0"
"-Xjordyu-qdb097aNciedg",2005-06-30,2015-04-25,320,2011-07-23 00:00:00,"wmo7ePEq","yelp_id_0"
"-Y2J9BERW9fgHyH3oiaLXQ",2006-02-10,2012-11-15,21,2010-08-14 00:00:00,"lnOR8a3N","yelp_id_0"
"-Y6LR472lNHGG9IBlG6U9A",2005-08-22,2015-03-07,73,2010-05-05 00:00:00,"eVOBqJoj","yelp_id_0"
"-aqL6hv7-X4gs0WXIQVd_g",2009-02-01,2014-08-03,17,2010-12-12 00:00:00,"8x3z2Z3k","yelp_id_0"
"-avAdTfwZSbXWNKqQ3WBgA",2007-05-03,2013-04-17,158,2011-03-12 12:00:00,"geEVGZ3z","yelp_id_0"
"-bQE2PRiMYc5KO9XlmphGg",2006-02-23,2014-07-23,29,2009-03-14 00:00:00,"6Wo2AN39","yelp_id_0"
"-dqF6zhWF48ZzQuKcPia0g",2005-07-20,2015-05-02,463,2012-10-23 00:00:00,"8xExy630","yelp_id_0"
"-e1hToXSgHdoXfXl7PqvDg",2005-06-27,2015-04-15,460,2010-10-18 12:00:00,"WwOaZpEB","yelp_id_0"
"-g-DBG41EKzmmWL4zYYLCg",2005-07-30,2015-03-10,59,2012-02-22 00:00:00,"8gOqZeE2","yelp_id_0"
"-glE3AlHMKHPaZvUGbxVZA",2005-06-23,2012-01-20,50,2010-08-07 00:00:00,"dj3dxN39","yelp_id_0"
"-gps5I5aJTYMGUfZYoe5Hg",2005-07-21,2015-02-13,66,2011-11-03 12:00:00,"wmo7X9Oq","yelp_id_0"
"-i-BY37FwOsPeiq0hiYwnQ",2007-03-20,2015-04-29,115,2011-08-22 00:00:00,"wmo7q7Eq","yelp_id_0"
"-kVmCsQPQopbrIE_vUaU_Q",2008-02-12,2015-04-28,26,2012-12-18 12:00:00,"Y1EmkAow","yelp_id_0"
"-l1T6N3FdzTG-Oavy7607Q",2006-06-08,2009-03-13,3,2008-08-11 00:00:00,"0ZED543D","yelp_id_0"
"-lihzo94JzqEZH657M5Z2Q",2005-07-06,2015-04-10,170,2010-11-16 00:00:00,"geEVyeOz","yelp_id_0"
"-qILHmt96TAlWX3BvxSOmg",2005-07-18,2015-04-13,145,2011-03-08 00:00:00,"ZBEnbpEY","yelp_id_0"
"-txjW5YdAoOPKRphqZiUaQ",2005-07-11,2012-04-09,105,2007-08-15 00:00:00,"6VOpLmOL","yelp_id_0"
"-vEzckZLHubWdYiGf0K-XA",2008-01-03,2015-04-30,488,2011-12-30 12:00:00,"9JoPXeo8","yelp_id_0"
"08mvggDYjaIJV0xyBLFRcA",2006-08-14,2015-03-04,87,2010-08-02 00:00:00,"KAoKgBog","yelp_id_0"
"0D-eN8XIcbz_A3VS2-hS5Q",2005-07-06,2015-01-18,87,2010-07-11 00:00:00,"NbE1jm3J","yelp_id_0"
"0ESsrwWao18zBQvwdGCBLA",2006-09-18,2009-08-26,5,2008-09-12 00:00:00,"ydEjw23W","yelp_id_0"
"0IXHxBDDneO0UZxOm45d9Q",2005-06-27,2015-05-01,259,2010-08-25 00:00:00,"6K3l8q3z","yelp_id_0"
"0It1GyVRNzh3VcYuC38HdA",2006-10-04,2014-12-22,11,2011-03-31 00:00:00,"KAoKyPEg","yelp_id_0"
"0LmVS_w6lGjSAg5HantnPg",2006-04-22,2015-03-28,27,2012-02-06 00:00:00,"nkOvXV3B","yelp_id_0"
"0SjgUb9RF2y7ew33hc6Wkw",2008-03-13,2013-02-07,28,2009-09-21 12:00:00,"NbE1mzEJ","yelp_id_0"
"0UGyyAjJ967WAo75JGl3mA",2005-11-26,2011-08-27,61,2008-12-27 00:00:00,"VpoGqdEr","yelp_id_0"
"0Uwhcv2z3IYaI63gYA3R8w",2005-08-19,2014-05-06,5,2006-02-10 00:00:00,"v5oJR8oB","yelp_id_0"
"0VWs0HMWJOrHPsV-AAfwtA",2006-12-27,2015-04-28,348,2011-05-12 00:00:00,"V430zyOB","yelp_id_0"
"0WwF0kq44VCLidPWwSP-1w",2005-06-27,2015-04-25,258,2011-04-21 00:00:00,"v5oJvyoB","yelp_id_0"
"0ZmK2S5WjNSIT33Jdc9Xvg",2006-08-21,2015-04-28,215,2011-08-06 00:00:00,"ZBEnProY","yelp_id_0"
"0Zz_MtYKgwiq88bWbKWMnA",2006-08-16,2015-03-29,25,2011-06-12 00:00:00,"9JoPLvo8","yelp_id_0"
"0a9pgOiIpgcaO9mlCy0ZQA",2005-07-29,2014-02-12,212,2011-03-06 12:00:00,"ZBEn02oY","yelp_id_0"
"0bZ0kpqHyKIOzsKCn77A4A",2005-08-28,2015-04-18,288,2011-03-26 00:00:00,"8xExk4O0","yelp_id_0"
"0d1KH62BWiIQOalN2RQ69A",2007-10-30,2014-09-21,8,2011-11-14 12:00:00,"6Wo2bYo9","yelp_id_0"
"0dCSXxrPL52684W1cyDuKQ",2005-06-28,2007-12-06,7,2007-06-25 00:00:00,"xWoYjgOK","yelp_id_0"
"0dGphVh1r6_gPjKXEhTaAg",2006-12-07,2015-03-24,72,2011-02-20 00:00:00,"8KoAzaO6","yelp_id_0"
